term,name,ename,sex,party,partyGroup,areaName,committee,onboardDate,degree,experience,picUrl,leaveFlag,leaveDate,leaveReason,X16
9,王金平,Wang Jin-Pyng,男,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第9屆第1會期：外交及國防委員會;第9屆第2會期：外交及國防委員會;第9屆第3會期：外交及國防委員會;第9屆第4會期：外交及國防委員會;第9屆第5會期：司法及法制委員會;第9屆第6會期：司法及法制委員會;第9屆第7會期：司法及法制委員會;第9屆第8會期：司法及法制委員會;,2016-02-01,臺灣省立師範大學數學系畢業;,立法院院長、副院長;中國國民黨副主席;國家生技醫療產業策進會會長;  ;,http://www.ly.gov.tw//Images/Legislators/90001.jpg,否,NA,NA,NA
9,王育敏,Wang Yu-Min,女,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第9屆第1會期：社會福利及衛生環境委員會;第9屆第1會期：程序委員會;第9屆第1會期：紀律委員會;第9屆第2會期：社會福利及衛生環境委員會;第9屆第2會期：程序委員會;第9屆第3會期：司法及法制委員會;第9屆第3會期：程序委員會;第9屆第4會期：司法及法制委員會;第9屆第4會期：程序委員會;第9屆第4會期：紀律委員會;第9屆第5會期：社會福利及衛生環境委員會;第9屆第6會期：社會福利及衛生環境委員會;第9屆第7會期：社會福利及衛生環境委員會;第9屆第8會期：社會福利及衛生環境委員會;,2016-02-01,東海大學社會工作學系碩士;東海大學社會工作學系學士;,第8屆立法委員;總統府人權諮詢小組委員;內政部兒少福利委員會委員;兒童福利聯盟基金會執行長;  ;,http://www.ly.gov.tw//Images/Legislators/90002.jpg,否,NA,NA,NA
9,王定宇,Wang Ting-Yu,男,民主進步黨,民主進步黨,臺南市第5選舉區,第9屆第1會期：外交及國防委員會;第9屆第2會期：外交及國防委員會;第9屆第3會期：外交及國防委員會;第9屆第3會期：紀律委員會;第9屆第4會期：外交及國防委員會;第9屆第5會期：外交及國防委員會;第9屆第6會期：外交及國防委員會;第9屆第7會期：外交及國防委員會;第9屆第7會期：紀律委員會;第9屆第8會期：外交及國防委員會;第9屆第8會期：紀律委員會;,2016-02-01,國立成功大學外文系;國立成功大學企管碩士;國立台北大學企管博士;,臺南市議會第15、16屆議員;台南直轄市第1屆市議員;臺南市議會教育委員會召集人;長老教會松年學講師;臺南市教師會顧問;臺南市教育產業工會顧問;關中虎慢速球聯盟理事長;電視台資深政論評論員;  ;,http://www.ly.gov.tw//Images/Legislators/90003.jpg,否,NA,NA,NA
9,王惠美,Wang Hui-Mei,女,中國國民黨,中國國民黨,彰化縣第1選舉區,第9屆第1會期：經濟委員會;第9屆第2會期：經濟委員會;第9屆第3會期：經濟委員會;第9屆第3會期：經費稽核委員會;第9屆第4會期：經濟委員會;第9屆第4會期：經費稽核委員會;第9屆第5會期：經濟委員會;第9屆第6會期：經濟委員會;,2016-02-01,彰化縣洛津國小 ;彰化縣鹿港國中 ;國立臺中第二高級中學;私立東海大學政治系學士學位、碩士學位;國立彰化師範大學財務金融學系博士班(就讀中);,鹿鳴國中、伸港國中、大慶商工教師;大葉大學、建國科技大學兼任講師;彰化縣青年工作委員會總會長;救國團鹿港鎮團委會會長;鹿菁獅子會會長;彰化縣土風舞協會理事長;彰化縣議員;鹿港鎮長;立法委員;彰化師範大學財務金融學系博士生;  ;,http://www.ly.gov.tw//Images/Legislators/90004.jpg,是,2018-12-25,NA,NA
9,王榮璋,Wang Jung-Chang,男,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第9屆第1會期：財政委員會;第9屆第1會期：程序委員會;第9屆第2會期：財政委員會;第9屆第2會期：程序委員會;第9屆第2會期：紀律委員會;第9屆第3會期：財政委員會;第9屆第3會期：紀律委員會;第9屆第4會期：財政委員會;第9屆第5會期：財政委員會;第9屆第5會期：程序委員會;第9屆第5會期：紀律委員會;第9屆第6會期：經費稽核委員會;第9屆第6會期：財政委員會;第9屆第6會期：程序委員會;第9屆第6會期：紀律委員會;第9屆第7會期：財政委員會;第9屆第8會期：財政委員會;,2016-02-01,國立岡山高中畢業;,中華民國身心障礙聯盟秘書長;台灣社會心理復健協會理事長;台灣社會福利總盟常務理事;伊甸社會福利基金會顧問;蘋果日報慈善基金會常務董事;新境界文教基金會董事;臺灣少年權益及福利促進聯盟顧問;第6屆立法委員;  ;,http://www.ly.gov.tw//Images/Legislators/90005.jpg,否,NA,NA,NA
9,孔文吉,Kung Wen-Chi,男,中國國民黨,中國國民黨,山地原住民,第9屆第1會期：經濟委員會;第9屆第2會期：經濟委員會;第9屆第3會期：經濟委員會;第9屆第4會期：經濟委員會;第9屆第5會期：經濟委員會;第9屆第6會期：經濟委員會;第9屆第7會期：經濟委員會;第9屆第7會期：紀律委員會;第9屆第8會期：經濟委員會;,2016-02-01,臺灣大學外文系畢業;美國奧勒岡大學(University of Oregon)新聞碩士;英國羅芙堡大學(Loughborough University)社會學系媒體研究組博士;,第6、7、8屆立法委員;臺北市政府原住民事務委員會主任委員;內政部民政司專員;行政院新聞局聯絡室秘書;財團法人公共電視文化事業基金會董事;朝陽科技大學及文藻外語專科學校等助理教授;東吳大學、東華大學、花蓮師範學院等兼任助理教授;  ;,http://www.ly.gov.tw//Images/Legislators/90006.jpg,否,NA,NA,NA
9,尤美女,Yu Mei-Nu,女,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第9屆第1會期：司法及法制委員會;第9屆第1會期：程序委員會;第9屆第2會期：司法及法制委員會;第9屆第2會期：程序委員會;第9屆第2會期：紀律委員會;第9屆第3會期：司法及法制委員會;第9屆第4會期：司法及法制委員會;第9屆第5會期：司法及法制委員會;第9屆第5會期：程序委員會;第9屆第6會期：經費稽核委員會;第9屆第6會期：司法及法制委員會;第9屆第6會期：程序委員會;第9屆第7會期：司法及法制委員會;第9屆第7會期：程序委員會;第9屆第7會期：經費稽核委員會;第9屆第8會期：程序委員會;第9屆第8會期：司法及法制委員會;第9屆第8會期：經費稽核委員會;,2016-02-01,國立臺灣大學法律學研究所碩士;,第8屆立委;台北律師公會前理事長;台灣婦女團體全國聯合會創會理事長;婦女新知基金會前董事長;總統府前人權諮詢委員;  ;,http://www.ly.gov.tw//Images/Legislators/90007.jpg,否,NA,NA,NA
9,江永昌,Chiang Yung-Chang,男,民主進步黨,民主進步黨,新北市第8選舉區,第9屆第1會期：財政委員會;第9屆第2會期：財政委員會;第9屆第3會期：財政委員會;第9屆第4會期：財政委員會;第9屆第5會期：財政委員會;第9屆第6會期：財政委員會;第9屆第7會期：財政委員會;第9屆第8會期：財政委員會;,2016-02-01,中和國小;海山國中;建國高中;中興大學物理學士;臺灣師範大學政治學研究所碩士;,臺灣大學工業工程研究所碩士;台北大學法律學院研究專班;第2屆新北市議員;第1屆新北市議員暨黨團幹事長;第16屆臺北縣議員;中和市市民代表;立委趙永清國會助理;凱達格蘭學校校友會監事;陽光之友協會理事長;紅十字會新北市分會副會長;新北市義消第七大隊幹事;,http://www.ly.gov.tw//Images/Legislators/90008.jpg,否,NA,NA,NA
9,江啟臣,Chiang Chi-Chen,男,中國國民黨,中國國民黨,臺中市第8選舉區,第9屆第1會期：外交及國防委員會;第9屆第1會期：程序委員會;第9屆第1會期：紀律委員會;第9屆第2會期：外交及國防委員會;第9屆第2會期：程序委員會;第9屆第3會期：外交及國防委員會;第9屆第3會期：程序委員會;第9屆第3會期：紀律委員會;第9屆第4會期：外交及國防委員會;第9屆第4會期：程序委員會;第9屆第5會期：外交及國防委員會;第9屆第5會期：程序委員會;第9屆第6會期：外交及國防委員會;第9屆第6會期：程序委員會;第9屆第7會期：外交及國防委員會;第9屆第8會期：外交及國防委員會;,2016-02-01,美國南卡羅萊納大學國際關係博士;美國匹茲堡大學國際事務碩士;國立政治大學外交學系;台中一中;豐南國中;瑞穗國小;,中華民國第8屆立法委員;行政院新聞局局長;東吳大學政治系專任副教授;立法院中華民國與新加坡國會議員友好協會會長;台灣經濟研究院國際處代處長;台灣新世代關懷協會理事長;公民監督國會聯盟、財經立法促進院評選為立法院績優委員;  ;,http://www.ly.gov.tw//Images/Legislators/90009.jpg,否,NA,NA,NA
9,何欣純,Ho Hsin-Chun,女,民主進步黨,民主進步黨,臺中市第7選舉區,第9屆第1會期：教育及文化委員會;第9屆第2會期：教育及文化委員會;第9屆第2會期：紀律委員會;第9屆第2會期：經費稽核委員會;第9屆第3會期：教育及文化委員會;第9屆第4會期：教育及文化委員會;第9屆第5會期：外交及國防委員會;第9屆第6會期：外交及國防委員會;第9屆第7會期：外交及國防委員會;第9屆第8會期：外交及國防委員會;,2016-02-01,塗城國小;成功國中;臺中女中;國立成功大學;英國約克大學婦女研究碩士;,第8屆立法委員（公督盟評鑑教育文化委員會優秀立委、財促院評鑑教育組績優立委）;立法院民進黨黨團副書記長;第一屆大臺中市議員;第15、16屆台中縣議員;家扶中心北台中區副主任;福田行善會、廣亮、同心、和風、合濟、眾愛等慈善團體會員;  ;,http://www.ly.gov.tw//Images/Legislators/90010.jpg,否,NA,NA,NA
