政黨,政黨縮寫,Party,Party_s,color,Party_importance
民主進步黨,民進黨,Democracy Progressive Party,DPP,#1B9431,1
中國國民黨,國民黨,Kuomintaing,KMT,#000095,2
時代力量,時力,New Power Party,NPP,#F9BE01,3
台灣民眾黨,民眾黨,Taiwan People Party,TPP,#28C8C8,4
親民黨,親民黨,People First Party,PFP,#FF6310,5
台灣基進,基進黨,Taiwan Statebuilding Party,TSP,#A73f24,6
綠黨,綠黨,Green Party,GP,#99E64D,7
新黨,新黨,New Party,NP,#FFDB00,8
台灣團結聯盟,台聯,Taiwan Solidarity Union,TSU,#AB6300,9
國會政黨聯盟,NA,Congress Party,CP,#FFEA00,10
中華統一促進黨,統促黨,Unionist Party,UP,#000080,11
民國黨,民國黨,Minkuotang,MKT,#FFEA00,12
無黨團結聯盟,NA,Non-Partisan Solidarity Union,NSU,#C20F51,13
喜樂島聯盟,喜樂島,Formosa Alliance,FA,#009e96,14
宗教聯盟,NA,Interfaith Union,IU,#EAD9A5,15
安定力量,安定力量,Stabilizing Force Party,SF,#633f99,16
台灣維新,NA,Taiwan Renewal Party,TRP,#51458B,17
勞動黨,勞動黨,Labor Party,LP,#FF0000,18
合一行動聯盟,NA,United Action Alliance,UAA,NA,19
一邊一國行動黨,NA,Taiwan Action Party Alliance,TAPA,#5BBEDE,20
無黨籍,無黨籍,Independent,Independent,#999999,21
台澎黨,台澎黨,SSFPP,SSFPP,#77AEA5,22
社會民主黨,社民黨,NA,NA,#FF0088,23
信心希望聯盟,NA,NA,FH,#006F7F,24
樹黨,樹黨,NA,NA,#B4D205,25
健保免費連線,NA,NA,NA,#8B00FF,26
自由台灣黨,NA,NA,NA,#E04155,27
軍公教聯盟黨,NA,NA,NA,#3F48CC,28
大愛憲改聯盟,NA,NA,NA,#FF0000,29
台灣工黨,NA,NA,NA,#008000,30
歡樂無法黨,NA,NA,NA,#FF0000,31
人民民主黨,NA,NA,NA,#FB0100,32
綠黨社會民主黨聯盟,綠社盟,NA,NA,#F00078,33
其他政黨,NA,NA,NA,#d4d4d4,34
